# wavelength(nm) intensity(au)
6.282799999999999727e+02 4.838500000000000227e+02
6.285349999999999682e+02 5.338500000000000227e+02
6.287910000000000537e+02 5.158500000000000227e+02
6.290460000000000491e+02 5.368500000000000227e+02
6.293020000000000209e+02 5.938500000000000227e+02
6.295570000000000164e+02 6.528500000000000227e+02
6.298120000000000118e+02 5.818500000000000227e+02
6.300679999999999836e+02 6.058500000000000227e+02
6.303229999999999791e+02 6.358500000000000227e+02
6.305779999999999745e+02 6.668500000000000227e+02
6.308339999999999463e+02 6.728500000000000227e+02
6.310890000000000555e+02 6.618500000000000227e+02
6.313440000000000509e+02 6.958500000000000227e+02
6.316000000000000227e+02 7.368500000000000227e+02
6.318550000000000182e+02 7.598500000000000227e+02
6.321100000000000136e+02 7.928500000000000227e+02
6.323659999999999854e+02 8.198500000000000227e+02
6.326209999999999809e+02 8.118500000000000227e+02
6.328759999999999764e+02 8.698500000000000227e+02
6.331319999999999482e+02 9.128500000000000227e+02
6.333869999999999436e+02 9.298500000000000227e+02
6.336420000000000528e+02 1.016850000000000023e+03
6.338970000000000482e+02 1.052849999999999909e+03
6.341530000000000200e+02 1.047849999999999909e+03
6.344080000000000155e+02 1.155849999999999909e+03
6.346630000000000109e+02 1.187849999999999909e+03
6.349180000000000064e+02 1.136849999999999909e+03
6.351730000000000018e+02 1.145849999999999909e+03
6.354289999999999736e+02 1.117849999999999909e+03
6.356839999999999691e+02 1.229849999999999909e+03
6.359389999999999645e+02 1.303849999999999909e+03
6.361939999999999600e+02 1.343849999999999909e+03
6.364489999999999554e+02 1.391849999999999909e+03
6.367050000000000409e+02 1.504849999999999909e+03
6.369600000000000364e+02 1.517849999999999909e+03
6.372150000000000318e+02 1.495849999999999909e+03
6.374700000000000273e+02 1.565849999999999909e+03
6.377250000000000227e+02 1.622849999999999909e+03
6.379800000000000182e+02 1.776849999999999909e+03
6.382350000000000136e+02 1.858849999999999909e+03
6.384900000000000091e+02 1.909849999999999909e+03
6.387450000000000045e+02 1.837849999999999909e+03
6.390009999999999764e+02 1.965849999999999909e+03
6.392559999999999718e+02 2.102849999999999909e+03
6.395109999999999673e+02 2.202849999999999909e+03
6.397659999999999627e+02 2.323849999999999909e+03
6.400209999999999582e+02 2.480849999999999909e+03
6.402759999999999536e+02 2.551849999999999909e+03
6.405309999999999491e+02 2.713849999999999909e+03
6.407859999999999445e+02 2.787849999999999909e+03
6.410410000000000537e+02 2.877849999999999909e+03
6.412960000000000491e+02 3.217849999999999909e+03
6.415510000000000446e+02 3.239849999999999909e+03
6.418060000000000400e+02 3.075849999999999909e+03
6.420610000000000355e+02 2.947849999999999909e+03
6.423160000000000309e+02 3.187849999999999909e+03
6.425710000000000264e+02 3.504849999999999909e+03
6.428260000000000218e+02 3.611849999999999909e+03
6.430810000000000173e+02 3.567849999999999909e+03
6.433360000000000127e+02 3.339849999999999909e+03
6.435910000000000082e+02 3.362849999999999909e+03
6.438450000000000273e+02 3.364849999999999909e+03
6.441000000000000227e+02 3.668849999999999909e+03
